school.id,school.name,telephone,fax,email,principal,website,street,suburb,city,postal.address.1,postal.address.2,postal.address.3,postal.code,urban.area,school.type,definition,authority,gender.students,territorial.authority,regional.council,moe.local.office,education.region,general.electorate,maori.electorate,census.area.unit,ward,longitude ,latitude,decile,total.roll,european,maori,pacific.island,asian,MELAA,other,international.students
1,Te Kao School,09 4097813,09 4097717,adminofficer@tekao.schoolzone.net.nz,Tewerita Takawe,,6603 Far North Road,,Te Kao,6603 Far North Road,RD 4,Kaitaia,484,Rural Area,Full Primary (Year 1-8),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,North Cape,Northern Ward,172.965896,-34.654655,2,25,0,25,0,0,0,0,0
2,Taipa Area School,09 4060159,09 4061096,office@taipa.school.nz,Patrick Toi,http://www.taipa.school.nz,578 State Highway 10,,Taipa,578 State Highway 10,,Taipa,420,Minor Urban Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Taipa Bay-Mangonui,Northern Ward,173.464257,-34.994659,2,336,68,258,7,3,0,0,0
3,Kaitaia College,09 4080190,09 4080193,admin@kaitaiacollege.school.nz,William Tailby,http://www.schoolground.co.nz/kaitaiacol,Redan Road,,Kaitaia,PO Box 265,,Kaitaia,441,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Kaitaia West,Northern Ward,173.258651,-35.121273,2,825,230,561,7,22,1,4,0
4,Whangaroa College,09 4050199,09 4050288,office@whangaroacollege.school.nz,Jack Anderson,http://www.whangaroacollege.school.nz,State Highway 10,,Kaeo,PO Box 126,,Kaeo,448,Rural Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Kaeo,Eastern Ward,173.786911,-35.100813,2,110,12,97,0,0,1,0,0
5,Kerikeri High School,09 4078916,09 4079323,enquiries@kerikerihigh.ac.nz,Elizabeth Forgie,http://www.kerikerihigh.ac.nz,Hone Heke Road,,Kerikeri,PO Box 92,,Kerikeri,245,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Kerikeri,Eastern Ward,173.955351,-35.228307,7,1437,987,320,16,38,12,10,54
6,Broadwood Area School,09 4095878,09 4095877,admin@broadwood.school.nz,Pani Hauraki,http://home.xtra.co.nz/hosts/broadwood/index.htm,Main Road,,Broadwood,PO Box 12,,Broadwood,462,Rural Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Hokianga North,Northern Ward,173.394943,-35.261201,1,108,8,100,0,0,0,0,0
7,Okaihau College,09 4019030,09 4019793,admin@okaihau-college.school.nz,Alan Forgie,http://www.okaihau-college.school.nz,58 Settlers Way,,Okaihau,58 Settlers Way,RD 1,Okaihau,475,Rural Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Okaihau,Western Ward,173.765723,-35.323714,2,460,113,324,19,1,0,3,0
8,Bay of Islands College,09 4041055,09 4041048,drl@boic.school.nz,Elgin Edwards,http://www.boic.school.nz,1-9 Derrick Road,,Kawakawa,PO Box 58,,Kawakawa,243,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Kawakawa,Eastern Ward,174.075865,-35.379458,1,376,41,316,12,4,2,1,0
9,Northland College,09 4013200,09 4012378,admin@northlandcollege.school.nz,John Tapene,http://www.northlandcollege.school.nz,Mangakahia Road,,Kaikohe,PO Box 261,,Kaikohe,440,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Kaikohe,Western Ward,173.809877,-35.413845,1,271,7,253,6,3,0,2,0
10,Te Kura Taumata o Panguru,09 4095701,09 4095703,office@panguru.school.nz,Mina Pomare,http://home.panguru.school.nz,2178 West Coast Road,,Kohukohu,2178 West Coast Road,RD 2,Kohukohu,492,Rural Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Hokianga North,Western Ward,173.38302,-35.380482,2,51,1,50,0,0,0,0,0
11,Opononi Area School,09 4058500,09 4058501,opononi.school@xtra.co.nz,Freda Mokaraka,,State Highway 12,Omapere,Kaikohe,Private Bag 759,,Kaikohe,440,Rural Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Omapere and Opononi,Western Ward,173.390164,-35.528513,2,160,16,142,1,0,1,0,0
12,Tauraroa Area School,09 4322643,09 4322436,general@tauraroa.school.nz,Grant Burns,http://www.tauraroa.school.nz,Tauraroa Road,,Maungakaramea,PO Box 36,,Maungakaramea,146,Rural Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Northern,Whangarei,Te Tai Tokerau,Wharekohe-Oakleigh,Bream Bay Ward,174.218133,-35.87303,7,489,346,129,6,3,3,2,0
13,Kamo High School,09 4351688,09 4350790,admin@kamohigh.school.nz,Gavin Greenfield,http://www.kamohigh.school.nz/,Wilkinson Avenue,Kamo,Whangarei,PO Box 4137,,Kamo,141,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Northern,Whangarei,Te Tai Tokerau,Kamo East,Denby Ward,174.302778,-35.684353,5,1049,533,454,15,15,2,7,23
14,Tikipunga High School,09 4373299,09 4372522,sec@tikihigh.school.nz,Peter Garelja,http://tikihigh.school.nz/,194 Corks Road,Tikipunga,Whangarei,PO Box 7041,Tikipunga,Whangarei,144,Main Urban Area,Secondary (Year 7-15),Normal School (Model Classes),State: Not integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Northern,Whangarei,Te Tai Tokerau,Tikipunga West,Denby Ward,174.328282,-35.683518,2,531,110,398,14,2,1,6,0
15,Whangarei Boys' High School,09 4304170,09 4304172,enquiries@wbhs.school.nz,Alan Kirk,http://www.wbhs.school.nz,Kent Road,,Whangarei,PO Box 5034,,Whangarei,140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State: Not integrated,Boys School,Whangarei District,Northland Region,Whangarei,Northern,Whangarei,Te Tai Tokerau,Regent,Okara Ward,174.318344,-35.716076,5,1011,612,282,28,58,10,8,13
16,Whangarei Girls' High School,09 4304460,09 4304410,office@wghs.school.nz,Anne Cooper,http://www.wghs.school.nz,Lupton Avenue,Regent,Whangarei,PO Box 5056,,Whangarei,140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State: Not integrated,Girls School,Whangarei District,Northland Region,Whangarei,Northern,Whangarei,Te Tai Tokerau,Regent,Okara Ward,174.319516,-35.713248,5,1194,773,324,27,36,11,11,12
17,Pompallier Catholic College,09 4383950,09 4300302,admin@pompallier.school.nz,Richard Stanton,http://www.pompalliercollege.school.nz,State Highway 14,Maunu,Whangarei,PO Box 10042,Te Mai,Whangarei,143,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Northern,Whangarei,Te Tai Tokerau,Te Hihi,Mangakahia-Maungatapere Ward,174.275678,-35.744824,7,555,374,97,12,40,23,4,5
18,Mangakahia Area School,09 4331702,09 4331714,admin@mangakahia.school.nz,Anne Stead,http://www.mangakahia.school.nz,Mangakahia Road,Titoki,Whangarei,Private Bag,Titoki,Whangarei,140,Rural Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Opouteke-Tanekaha,Mangakahia-Maungatapere Ward,174.058742,-35.732238,3,152,31,120,0,0,1,0,0
19,Dargaville High School,09 4397229,09 4397563,office@darghigh.schoolzone.net.nz,David Bargh,http://www.dargavillehighschool.co.nz,Plunket Street,,Dargaville,Plunket Street,,Dargaville,310,Minor Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State: Not integrated,Co-Educational,Kaipara District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Dargaville,Dargaville Ward,173.868017,-35.931654,3,480,255,200,13,8,1,1,2
