State,Year,PerAllGM
Country overall,2000,25
Country overall,2001,26
Country overall,2002,34
Country overall,2003,40
Country overall,2004,47
Country overall,2005,52
Country overall,2006,61
Country overall,2007,73
Country overall,2008,80
Country overall,2009,85
Country overall,2010,86
Country overall,2011,88
Country overall,2012,88
Country overall,2013,90
Illinois,2000,17
Illinois,2001,16
Illinois,2002,22
Illinois,2003,28
Illinois,2004,33
Illinois,2005,36
Illinois,2006,55
Illinois,2007,74
Illinois,2008,80
Illinois,2009,84
Illinois,2010,82
Illinois,2011,86
Illinois,2012,85
Illinois,2013,89
Indiana,2000,11
Indiana,2001,12
Indiana,2002,13
Indiana,2003,16
Indiana,2004,21
Indiana,2005,26
Indiana,2006,40
Indiana,2007,59
Indiana,2008,78
Indiana,2009,79
Indiana,2010,83
Indiana,2011,85
Indiana,2012,84
Indiana,2013,85
Iowa,2000,30
Iowa,2001,32
Iowa,2002,41
Iowa,2003,45
Iowa,2004,54
Iowa,2005,60
Iowa,2006,64
Iowa,2007,78
Iowa,2008,84
Iowa,2009,86
Iowa,2010,90
Iowa,2011,90
Iowa,2012,91
Iowa,2013,91
Kansas,2000,33
Kansas,2001,38
Kansas,2002,43
Kansas,2003,47
Kansas,2004,54
Kansas,2005,63
Kansas,2006,68
Kansas,2007,82
Kansas,2008,90
Kansas,2009,91
Kansas,2010,90
Kansas,2011,92
Kansas,2012,90
Kansas,2013,91
Michigan,2000,12
Michigan,2001,17
Michigan,2002,22
Michigan,2003,35
Michigan,2004,33
Michigan,2005,40
Michigan,2006,44
Michigan,2007,60
Michigan,2008,72
Michigan,2009,75
Michigan,2010,80
Michigan,2011,87
Michigan,2012,86
Michigan,2013,90
Minnesota,2000,37
Minnesota,2001,36
Minnesota,2002,44
Minnesota,2003,53
Minnesota,2004,63
Minnesota,2005,66
Minnesota,2006,73
Minnesota,2007,86
Minnesota,2008,88
Minnesota,2009,88
Minnesota,2010,92
Minnesota,2011,93
Minnesota,2012,88
Minnesota,2013,91
Missouri,2000,28
Missouri,2001,32
Missouri,2002,34
Missouri,2003,42
Missouri,2004,49
Missouri,2005,55
Missouri,2006,59
Missouri,2007,62
Missouri,2008,70
Missouri,2009,77
Missouri,2010,79
Missouri,2011,85
Missouri,2012,86
Missouri,2013,92
Nebraska,2000,34
Nebraska,2001,34
Nebraska,2002,46
Nebraska,2003,52
Nebraska,2004,60
Nebraska,2005,69
Nebraska,2006,76
Nebraska,2007,79
Nebraska,2008,86
Nebraska,2009,91
Nebraska,2010,91
Nebraska,2011,93
Nebraska,2012,91
Nebraska,2013,93
North Dakota,2000,NA
North Dakota,2001,NA
North Dakota,2002,NA
North Dakota,2003,NA
North Dakota,2004,NA
North Dakota,2005,75
North Dakota,2006,83
North Dakota,2007,88
North Dakota,2008,89
North Dakota,2009,93
North Dakota,2010,93
North Dakota,2011,97
North Dakota,2012,96
North Dakota,2013,94
Ohio,2000,9
Ohio,2001,11
Ohio,2002,9
Ohio,2003,9
Ohio,2004,13
Ohio,2005,18
Ohio,2006,26
Ohio,2007,41
Ohio,2008,66
Ohio,2009,67
Ohio,2010,71
Ohio,2011,74
Ohio,2012,76
Ohio,2013,85
South Dakota,2000,48
South Dakota,2001,47
South Dakota,2002,66
South Dakota,2003,75
South Dakota,2004,79
South Dakota,2005,83
South Dakota,2006,86
South Dakota,2007,93
South Dakota,2008,95
South Dakota,2009,96
South Dakota,2010,95
South Dakota,2011,96
South Dakota,2012,94
South Dakota,2013,96
Texas,2000,NA
Texas,2001,NA
Texas,2002,NA
Texas,2003,NA
Texas,2004,NA
Texas,2005,72
Texas,2006,77
Texas,2007,79
Texas,2008,78
Texas,2009,84
Texas,2010,85
Texas,2011,88
Texas,2012,85
Texas,2013,89
Wisconsin,2000,18
Wisconsin,2001,18
Wisconsin,2002,26
Wisconsin,2003,32
Wisconsin,2004,38
Wisconsin,2005,46
Wisconsin,2006,50
Wisconsin,2007,64
Wisconsin,2008,75
Wisconsin,2009,77
Wisconsin,2010,80
Wisconsin,2011,86
Wisconsin,2012,86
Wisconsin,2013,84
