Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Inst #,School Name,2014 Decile,"2014Step",2015 Decile,"2015 Step",Decile Change,Step Change,"July 2014 Funding rollYears 9+","July 2014 Funding rollTotal ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,M_ori Electorate
3700,Abbotsford School,7,O,8,P,1,1,0,261,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1680,Aberdeen School,6,N,5,M,-1,-1,0,670,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
2330,Aberfeldy School,2,F,2,F,0,0,0,44,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
3271,Addington School,3,G,3,I,0,2,0,246,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
1195,Adventure School,10,Z,10,Z,0,0,0,384,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1000,Ahipara School,3,I,2,D,-1,-5,0,206,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2150,Ahititi School,3,I,4,K,1,2,0,21,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
1200,Ahuroa School,7,O,9,Q,2,2,0,78,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
82,Aidanfield Christian School,7,O,8,P,1,1,34,223,Composite (Year 1-15),State: Integrated,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
1201,Aka Aka School,8,P,7,O,-1,-1,0,50,Full Primary,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
350,Akaroa Area School,8,P,8,P,0,0,65,142,Composite (Year 1-15),State,Christchurch City,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
6948,Albany Junior High School,10,Z,10,Z,0,0,443,1021,Secondary (Year 7-15),State,Auckland- Upper Harbour,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
1202,Albany School,10,Z,9,Q,-1,-1,0,639,Contributing,State,Auckland- Upper Harbour,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
563,Albany Senior High School,10,Z,10,Z,0,0,696,696,Secondary (Year 9-15),State,Auckland- Upper Harbour,Auckland Region,Auckland South,East Coast Bays,Te Tai Tokerau
