^Email addresses are only listed for schools that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
*Principal names are available for State and State Integrated Schools. Principal names for Private Schools are provided where available.  The most up to date information that we have available has been provided.  Recent changes may not be reflected.,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,
Directory of Schools - as at 5/11/2014,,Contact Details,,,,,Location,,,Postal Address,,,,,Institution Information,,,,Regional Information,,,,,,,,,,Decile and Indicative Roll information October 2014,,,,,,,,
School ID,Name,Telephone,Fax,Email^,Principal*,School website,Street,Suburb,City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Longitude ,Latitude,Decile,Total School Roll,European/ Pakeha,Maori,Pasifika,Asian,MELAA,Other,International Students
1,Te Kao School,09 4097813,,office@tekao.school.nz,Hemi Takawe,http://schoolground.co.nz/tekao,6603 Far North Road,,Te Kao,6603 Far North Road,RD 4,Kaitaia,0484,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,North Cape,Te Hiku Ward,172.965948,-34.654712,2,36,0,35,1,0,0,0,0
2,Taipa Area School,09 4060159,09 4061096,office@taipa.school.nz,Pateriki Toi,http://www.taipa.school.nz,578 State Highway 10,,Taipa,578 State Highway 10,,Taipa,0420,Minor Urban Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Taipa Bay-Mangonui,Te Hiku Ward,173.464302,-34.994709,2,260,45,196,14,4,1,0,0
3,Kaitaia College,09 4080190,09 4080193,admin@kaitaiacollege.school.nz,William Tailby,http://www.schoolground.co.nz/kaitaiacol,Redan Road,,Kaitaia,PO Box 265,,Kaitaia,0441,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaitaia West,Te Hiku Ward,173.2587,-35.121322,2,773,236,500,15,18,0,4,0
4,Whangaroa College,09 4050199,09 4052088,office@whc.school.nz,Jack Anderson,http://www.whangaroacollege.school.nz,4157 State Highway 10,,Kaeo,PO Box 126,,Kaeo,0448,Rural Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaeo,Bay of Islands-Whangaroa Ward,173.78695,-35.100861,2,142,19,123,0,0,0,0,0
5,Kerikeri High School,09 4078916,09 4079323,enquiries@kerikerihigh.ac.nz,Elizabeth Forgie,http://www.kerikerihigh.ac.nz,Hone Heke Road,,Kerikeri,PO Box 92,,Kerikeri,0245,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kerikeri,Bay of Islands-Whangaroa Ward,173.955389,-35.228354,7,1438,961,333,19,42,12,11,60
6,Broadwood Area School,09 4095878,09 4095877,admin@broadwood.school.nz,Pani Hauraki,http://home.xtra.co.nz/hosts/broadwood,Main Road,,Broadwood,PO Box 12,,Broadwood,0462,Rural Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Hokianga North,Kaikohe-Hokianga Ward,173.39499,-35.261248,1,119,6,112,1,0,0,0,0
7,Okaihau College,09 4019030,09 4019793,admin@okaihau-college.school.nz,Alan Forgie,http://www.okaihau-college.school.nz,58 Settlers Way,,Okaihau,58 Settlers Way,RD 1,Okaihau,0475,Rural Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Okaihau,Kaikohe-Hokianga Ward,173.765764,-35.323759,2,428,117,297,12,1,0,1,0
8,Bay of Islands College,09 4041055,09 4041048,drl@boic.school.nz,John Paitai,http://www.boic.school.nz,1-9 Derrick Road,,Kawakawa,PO Box 58,,Kawakawa,0243,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kawakawa,Bay of Islands-Whangaroa Ward,174.075901,-35.379502,1,375,47,310,12,4,2,0,0
9,Northland College,09 4013200,09 4012378,admin@northlandcollege.school.nz,Jim Luders,,Mangakahia Road,,Kaikohe,PO Box 261,,Kaikohe,0440,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaikohe,Kaikohe-Hokianga Ward,173.809917,-35.413889,1,284,7,273,4,0,0,0,0
10,Te Kura Taumata o Panguru,09 4095701,09 4095703,office@panguru.school.nz,Deidre Wijohn (acting),http://www.panguru.school.nz,2178 West Coast Road,,Panguru,2178 West Coast Road,RD 2,Kohukohu,0492,Rural Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Hokianga North,Kaikohe-Hokianga Ward,173.383068,-35.380527,2,53,1,51,1,0,0,0,0
11,Opononi Area School,09 4058500,09 4058501,opononi.school@xtra.co.nz,Freda Mokaraka,,State Highway 12,Omapere,Kaikohe,Private Bag 759,,Kaikohe,0440,Rural Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Omapere and Opononi,Kaikohe-Hokianga Ward,173.390212,-35.528555,2,143,19,119,5,0,0,0,0
12,Tauraroa Area School,09 4322643,09 4322436,general@tauraroa.school.nz,Grant Burns,http://www.tauraroa.school.nz,Tauraroa Road,,Maungakaramea,PO Box 36,,Maungakaramea,0146,Rural Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Wharekohe-Oakleigh,Bream Bay Ward,174.218169,-35.873069,7,444,334,101,4,2,1,1,1
13,Kamo High School,09 4351688,09 4350790,admin@kamohigh.school.nz,Gavin Greenfield,http://www.kamohigh.school.nz/,Wilkinson Avenue,Kamo,Whangarei,PO Box 4137,,Kamo,0141,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Kamo East,Denby Ward,174.302813,-35.684394,5,715,339,336,10,14,3,4,9
14,Tikipunga High School,09 4373299,09 4372522,sec@tikihigh.school.nz,Alec Solomon,http://tikihigh.school.nz/,194 Corks Road,Tikipunga,Whangarei,PO Box 7041,Tikipunga,Whangarei,0144,Main Urban Area,Secondary (Year 7-15),Normal School,State: Not integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Tikipunga West,Denby Ward,174.328317,-35.683559,2,383,72,298,11,1,1,0,0
15,Whangarei Boys' High School,09 4304170,09 4304172,enquiries@wbhs.school.nz,Alan Kirk,http://www.wbhs.school.nz,Kent Road,,Whangarei,PO Box 5034,,Whangarei,0140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State: Not integrated,Boys School,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Regent,Okara Ward,174.318379,-35.716116,5,1109,648,336,25,57,17,14,12
16,Whangarei Girls' High School,09 4304460,09 4304410,office@wghs.school.nz,Anne Cooper,http://www.wghs.school.nz,Lupton Avenue,Regent,Whangarei,PO Box 5056,,Whangarei,0140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State: Not integrated,Girls School,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Regent,Okara Ward,174.31955,-35.713289,5,1307,821,361,35,46,18,12,14
17,Pompallier Catholic College,09 4383950,09 4300302,admin@pompallier.school.nz,Richard Stanton,http://www.pompalliercollege.school.nz,State Highway 14,Maunu,Whangarei,PO Box 10042,Te Mai,Whangarei,0143,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Te Hihi,Mangakahia-Maungatapere Ward,174.275713,-35.744864,7,500,339,88,14,37,11,4,7
18,Mangakahia Area School,09 4331702,,admin@mangakahia.school.nz,Jacqui Tyrrell,http://www.mangakahia.school.nz,Mangakahia Road,Titoki,Whangarei,Private Bag,Titoki,Whangarei,0140,Rural Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Opouteke-Tanekaha,Mangakahia-Maungatapere Ward,174.058779,-35.732278,3,159,25,131,3,0,0,0,0
19,Dargaville High School,09 4397229,09 4397563,office@darghigh.school.nz,David Bargh,http://www.dargavillehighschool.co.nz,Plunket Street,,Dargaville,Plunket Street,,Dargaville,0310,Minor Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State: Not integrated,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Dargaville,Dargaville Ward,173.868056,-35.931691,3,458,232,197,17,10,0,1,1
20,Bream Bay College,09 4328226,09 4328228,admin@breambaycollege.school.nz,Wayne Buckland,http://www.breambaycollege.school.nz/,Peter Snell Road,,Ruakaka,PO Box 111,,Ruakaka,0151,Rural Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Marsden Point-Ruakaka,Bream Bay Ward,174.455784,-35.876079,4,437,260,151,6,12,5,1,2
21,Otamatea High School,09 4318230,09 4318229,ohs@otamatea.school.nz,Rachel Clothier-Simmonds,http://www.otamatea.school.nz,Bickerstaffe Road,,Maungaturoto,PO Box 64,,Maungaturoto,0547,Rural Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Rehia-Oneriri,Otamatea Ward,174.365259,-36.117231,6,447,270,137,14,15,2,5,4
22,Ruawai College,09 4392216,09 4392214,,Glynis Woodhead,http://www.ruawaicollege.school.nz,4375 State Highway 12,,Ruawai,State Highway 12,,Ruawai,0530,Rural Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Rehia-Oneriri,West Coast-Central Ward,174.011673,-36.122571,5,182,96,83,3,0,0,0,0
23,Rodney College,09 4236030,09 4237555,eo@rodneycollege.school.nz,Irene Symes,http://www.rodneycollege.school.nz,287 Rodney Street,,Wellsford,287 Rodney Street,,Wellsford,0900,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Rodney,Auckland Region,Auckland North,Auckland,Northland,Te Tai Tokerau,Wellsford,Rodney Ward,174.520831,-36.28816,4,358,236,98,7,8,0,0,9
24,Mahurangi College,09 4258039,09 4257275,admin@mahurangi.school.nz,David Macleod,http://www.mahurangi.school.nz,Woodcocks Road,,Warkworth,PO Box 64,,Warkworth,0941,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Rodney,Auckland Region,Auckland North,Auckland,Rodney,Te Tai Tokerau,Warkworth,Rodney Ward,174.655544,-36.406517,8,1281,1016,125,65,27,23,6,19
25,Orewa College,09 4273833,09 4265415,admin@oc.school.nz,Kate Shevland,http://www.orewa.school.nz/,Riverside Road,,Orewa,PO Box 345,,Orewa,0946,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,Auckland,Rodney,Te Tai Tokerau,Orewa,Albany Ward,174.689747,-36.591698,9,1930,1526,195,49,66,26,16,52
26,Kaipara College,09 4208640,09 4207485,jsherman@kaiparacollege.school.nz,John Grant,http://www.kaiparacollege.school.nz/,Rautawhiri Road,,Helensville,Rautawhiri Road,,Helensville,0800,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Rodney,Auckland Region,Auckland North,Auckland,Helensville,Te Tai Tokerau,Helensville,Rodney Ward,174.459138,-36.680156,7,605,405,146,17,20,2,6,9
27,Long Bay College,09 4779009,09 4779105,office@lbc.school.nz,Russell Brooke,http://www.longbaycollege.com,Ashley Avenue,Torbay,Auckland,PO Box 89007,Torbay,Auckland,0742,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,Auckland,East Coast Bays,Te Tai Tokerau,Long Bay,Albany Ward,174.738757,-36.691395,10,1768,1433,69,15,102,24,0,125
28,Rangitoto College,09 4770150,09 4770077,info@rangitoto.school.nz,David Hodge,http://www.rangitoto.school.nz,564 East Coast Road,Browns Bay,Auckland,PO Box 93601,Browns Bay,Auckland,0753,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Upper Harbour,Auckland Region,Auckland North,Auckland,East Coast Bays,Te Tai Tokerau,Windsor Park,Albany Ward,174.736684,-36.737197,10,3031,1706,136,46,733,137,33,240
29,Kristin School,09 4159566,09 4158495,kristin@kristin.school.nz,Peter Clague,http://www.kristin.school.nz/,360 Albany Highway,Albany,Auckland,PO Box 300087,Albany,North Shore City,0752,Main Urban Area,Composite (Year 1-15),Not Applicable,Private: Fully Reg.,Co-Educational,Auckland- Upper Harbour,Auckland Region,Auckland North,Auckland,East Coast Bays,Te Tai Tokerau,North Harbour West,Albany Ward,174.692243,-36.742989,10,1513,1061,26,5,326,28,7,60
30,Glenfield College,09 4449066,09 4447198,principal@glenfieldcollege.school.nz,Edward Benton,http://www.glenfieldcollege.school.nz,Kaipatiki Road,Glenfield,Auckland,PO Box 40176,Glenfield,North Shore City,0747,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Kaipatiki,Auckland Region,Auckland North,Auckland,Northcote,Te Tai Tokerau,Kaipatiki,North Shore Ward,174.714953,-36.779801,7,634,208,111,52,169,50,2,42
31,Birkenhead College,09 4839039,09 4834094,office@birkenhead.school.nz,James Mathewson,http://www.birkenhead.school.nz/,140 Birkdale Road,Birkenhead,Auckland,Private Bag 34911,Birkenhead,North Shore City,0746,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Kaipatiki,Auckland Region,Auckland North,Auckland,Northcote,Te Tai Tokerau,Birkdale South,North Shore Ward,174.701151,-36.799175,6,677,310,101,107,87,37,6,29
32,Northcote College,09 4810141,09 4810142,office@northcote.school.nz,Vicki Barrie,http://www.northcote.school.nz,Kauri Glen Road,Northcote,Auckland,Kauri Glen Road,Northcote,North Shore City,0627,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Kaipatiki,Auckland Region,Auckland North,Auckland,Northcote,Te Tai Tokerau,Northcote South,North Shore Ward,174.733677,-36.808881,8,1120,565,147,85,152,51,10,110
33,Hato Petera College,09 4807784,09 4801678,admin@hatopetera.school.nz,John Matthews,http://www.hatopetera.school.nz,103 College Road,Northcote,Auckland,103 College Road,Northcote,Auckland,0627,Main Urban Area,Secondary (Year 9-15),Secondary Maori Boarding School,State: Integrated,Co-Educational,Auckland- Kaipatiki,Auckland Region,Auckland North,Auckland,Northcote,Te Tai Tokerau,Tuff Crater,North Shore Ward,174.753142,-36.797974,2,92,2,90,0,0,0,0,0
35,Carmel College,09 4861132,09 4862286,admin@carmel.school.nz,Christine Allen,http://www.carmel.school.nz/,108 Shakespeare Road,Milford,Auckland,PO Box 31142,Milford,North Shore City,0741,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Girls School,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,174.756742,-36.779176,10,1071,670,54,49,190,66,5,37
36,Takapuna Grammar School,09 4894167,09 4867118,office@takapuna.school.nz,Simon Lamb,http://www.takapuna.school.nz,210 Lake Road,Takapuna,Auckland,PO Box 331096,Takapuna,Auckland,0740,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,Auckland,North Shore,Te Tai Tokerau,Seacliffe,North Shore Ward,174.788477,-36.800616,10,1634,1082,81,49,194,42,6,180
37,Westlake Boys' High School,09 4108667,09 4107717,office@westlake.school.nz,David Ferguson,http://www.westlake.school.nz,Forrest Hill Road,Takapuna,Auckland,30 Forrest Hill Road,Forrest Hill,North Shore City,0620,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Boys School,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,174.749491,-36.777366,9,2269,1027,129,93,779,74,11,156
38,Westlake Girls' High School,09 4894169,09 4861860,principal@westlakegirls.school.nz,Roz Mexted,http://www.westlakegirls.school.nz,2 Wairau Road,Takapuna,Auckland,2 Wairau Road,Takapuna,North Shore City,0627,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Girls School,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,174.752309,-36.782458,9,2200,951,139,95,715,88,33,179
39,Rosmini College,09 4895417,09 4895323,i.fairhurst@rosmini.school.nz,Thomas Gerrard,http://www.rosmini.school.nz,36 Dominion Street,Takapuna,Auckland,36 Dominion Street,Takapuna,North Shore City,0622,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Boys School,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,174.760146,-36.792443,9,1046,654,66,59,165,69,3,30
