family,stem
A,192
C,183
D,158
A,168
C,170
B,191
D,149
B,180
C,227
D,185
C,108
D,193
A,185
B,174
D,212
C,175
A,234
C,209
B,211
D,223
C,192
A,246
D,190
B,148
C,174
D,179
C,175
B,216
A,231
A,151
C,185
B,212
B,182
A,195
C,199
D,151
B,170
D,180
C,215
A,221
D,196
B,184
A,160
C,208
D,223
B,207
A,182
C,194
C,144
B,202
A,190
D,184
A,206
B,193
C,187
B,182
A,189
D,177
V,202
I,191
H,195
U,192
B,166
C,235
P,222
W,188
F,175
K,232
T,221
J,199
O,183
R,213
D,207
L,206
X,235
G,265
N,252
Q,204
E,180
Y,231
A,161
M,195
Z,186
C,122
D,184
B,192
A,184
D,197
B,195
A,218
C,197
D,168
C,177
A,195
B,180
D,178
C,175
D,191
A,170
C,146
B,201
C,235
A,206
D,205
B,168
C,156
A,227
D,213
C,220
A,172
B,209
C,225
A,240
A,174
D,245
C,199
C,201
D,205
B,185
B,225
A,227
D,154
C,196
C,159
A,211
D,201
A,186
B,191
D,167
C,181
D,187
A,221
B,214
D,179
A,196
B,171
A,208
D,201
C,248
B,208
D,162
A,151
B,195
C,192
D,190
C,210
A,179
D,245
A,174
C,235
P,189
T,216
C,205
X,224
L,244
S,168
D,199
V,157
U,233
H,233
I,210
K,204
M,247
O,180
Q,215
A,190
J,215
Z,227
F,195
B,222
R,216
G,193
N,185
Y,219
E,170
C,188
B,204
D,187
C,202
D,199
B,250
A,222
D,226
C,171
A,215
D,201
C,152
B,217
B,199
A,179
C,187
D,195
D,208
C,203
A,198
B,210
C,138
A,200
D,190
A,192
C,224
C,111
B,224
A,210
C,242
D,188
C,179
B,167
D,223
B,178
D,182
A,213
D,197
C,198
B,273
A,130
D,210
A,185
C,180
B,215
B,207
D,222
A,213
C,155
D,112
A,199
C,215
B,178
C,232
D,221
B,256
A,222
A,244
B,211
D,191
A,207
D,208
B,244
C,254
D,180
B,239
C,180
A,191
P,222
O,211
R,181
A,201
J,147
G,212
X,195
Z,199
Q,213
U,194
T,185
H,231
K,227
C,161
B,212
F,183
S,218
M,224
N,181
Y,228
L,228
W,165
V,194
A,225
C,187
D,180
B,244
C,183
B,220
D,201
A,180
D,223
C,212
B,123
C,197
D,196
B,185
A,175
C,169
D,224
A,240
D,197
C,198
A,180
A,187
D,212
C,237
A,187
B,251
C,188
D,185
C,224
A,192
B,230
C,271
A,201
B,187
D,179
C,153
B,153
C,246
A,200
D,208
B,197
A,207
D,220
A,198
B,190
C,190
A,196
D,188
B,152
D,217
C,181
A,202
B,188
A,189
D,155
C,201
B,206
A,195
B,167
D,238
C,170
B,174
A,220
D,181
C,212
V,208
S,221
K,242
R,181
G,180
M,208
Q,182
E,212
D,163
U,185
A,232
O,223
T,220
H,226
P,175
B,245
N,242
X,250
Y,229
Z,203
I,200
L,207
B,184
C,208
A,210
D,210
D,165
C,211
A,215
A,161
D,201
C,191
C,218
B,194
D,216
D,182
A,240
B,193
C,220
D,236
C,191
A,233
C,177
A,215
B,166
D,208
A,216
C,198
B,207
C,213
A,214
D,182
C,198
D,193
B,192
C,185
B,186
A,133
D,127
B,188
D,134
C,117
A,198
D,200
B,195
C,188
A,227
B,172
C,202
A,229
D,137
A,186
D,212
B,266
C,168
C,235
B,213
A,214
D,201
D,200
C,174
B,215
A,229
D,137
B,172
C,231
A,174
D,191
B,172
A,229
C,235
S,157
N,183
A,187
G,166
X,221
Y,229
M,132
Q,188
H,214
K,219
U,221
E,167
P,195
F,209
D,191
J,178
T,215
L,207
I,184
B,200
V,216
R,227
C,196
W,231
B,242
D,138
C,183
A,196
D,213
C,192
B,207
A,215
C,206
A,187
B,202
C,204
D,217
D,215
B,186
A,161
D,218
A,207
C,204
B,201
A,170
A,207
C,246
D,175
B,178
A,191
C,149
C,249
A,199
B,167
C,220
A,223
B,237
C,176
D,172
D,234
B,157
A,168
A,231
B,237
D,224
A,199
D,162
B,167
C,216
C,212
B,223
D,212
A,177
D,184
B,208
A,193
D,232
B,238
C,235
C,181
D,182
A,226
B,225
A,187
B,200
C,224
D,221
W,216
P,215
H,212
M,194
E,185
A,233
F,174
I,200
Y,244
T,185
V,200
X,175
G,233
U,245
R,192
D,177
B,185
O,206
C,223
Z,236
N,170
Q,191
S,211
A,220
D,237
D,204
A,200
C,172
A,187
D,189
C,161
B,165
D,186
D,233
A,211
C,182
D,203
B,177
A,187
C,178
C,182
D,180
A,191
A,188
B,180
D,190
A,167
C,161
B,172
