year,rate,country
1995,7.8,Argentina
1996,8.5,Argentina
1997,9.1,Argentina
1998,7.2,Argentina
1999,7.3,Argentina
2000,7.2,Argentina
2001,8.2,Argentina
2002,9.2,Argentina
2003,7.6,Argentina
2004,5.9,Argentina
2005,5.5,Argentina
2006,5.3,Argentina
2007,5.3,Argentina
2008,5.8,Argentina
2009,5.5,Argentina
2010,NA,Argentina
1995,NA,Bolivia
1996,NA,Bolivia
1997,NA,Bolivia
1998,NA,Bolivia
1999,NA,Bolivia
2000,NA,Bolivia
2001,NA,Bolivia
2002,NA,Bolivia
2003,NA,Bolivia
2004,NA,Bolivia
2005,6.5,Bolivia
2006,5.7,Bolivia
2007,7.6,Bolivia
2008,7.5,Bolivia
2009,6.9,Bolivia
2010,8.9,Bolivia
1995,25.7,Brazil
1996,27.0,Brazil
1997,28.7,Brazil
1998,29.5,Brazil
1999,30.4,Brazil
2000,29.7,Brazil
2001,31.4,Brazil
2002,32.3,Brazil
2003,33.1,Brazil
2004,31.1,Brazil
2005,29.2,Brazil
2006,31.2,Brazil
2007,29.3,Brazil
2008,29.9,Brazil
2009,NA,Brazil
2010,NA,Brazil
1995,3.2,Chile
1996,3.0,Chile
1997,2.5,Chile
1998,2.8,Chile
1999,3.0,Chile
2000,5.1,Chile
2001,5.4,Chile
2002,5.3,Chile
2003,5.2,Chile
2004,5.3,Chile
2005,5.8,Chile
2006,5.6,Chile
2007,4.5,Chile
2008,NA,Chile
2009,NA,Chile
2010,NA,Chile
1995,69.7,Colombia
1996,71.8,Colombia
1997,67.2,Colombia
1998,60.1,Colombia
1999,62.3,Colombia
2000,66.7,Colombia
2001,68.9,Colombia
2002,70.2,Colombia
2003,56.4,Colombia
2004,47.7,Colombia
2005,42.1,Colombia
2006,40.0,Colombia
2007,38.8,Colombia
2008,35.9,Colombia
2009,34.6,Colombia
2010,33.4,Colombia
1995,13.4,Ecuador
1996,16.1,Ecuador
1997,12.5,Ecuador
1998,15.3,Ecuador
1999,17.7,Ecuador
2000,16.9,Ecuador
2001,15.9,Ecuador
2002,16.3,Ecuador
2003,13.8,Ecuador
2004,17.9,Ecuador
2005,18.4,Ecuador
2006,21.2,Ecuador
2007,20.7,Ecuador
2008,21.7,Ecuador
2009,NA,Ecuador
2010,NA,Ecuador
1995,15.0,Guyana
1996,12.1,Guyana
1997,11.9,Guyana
1998,15.5,Guyana
1999,12.4,Guyana
2000,10.1,Guyana
2001,10.7,Guyana
2002,19.2,Guyana
2003,27.8,Guyana
2004,17.6,Guyana
2005,19.0,Guyana
2006,21.8,Guyana
2007,15.3,Guyana
2008,21.0,Guyana
2009,15.5,Guyana
2010,18.4,Guyana
1995,5.5,Perú
1996,4.4,Perú
1997,4.2,Perú
1998,5.4,Perú
1999,2.6,Perú
2000,3.2,Perú
2001,3.0,Perú
2002,2.7,Perú
2003,2.9,Perú
2004,3.0,Perú
2005,2.9,Perú
2006,2.7,Perú
2007,3.0,Perú
2008,NA,Perú
2009,NA,Perú
2010,NA,Perú
1995,NA,Surinam
1996,NA,Surinam
1997,NA,Surinam
1998,NA,Surinam
1999,NA,Surinam
2000,4.6,Surinam
2001,16.7,Surinam
2002,11.9,Surinam
2003,12.3,Surinam
2004,14.4,Surinam
2005,13.8,Surinam
2006,12.3,Surinam
2007,8.8,Surinam
2008,8.3,Surinam
2009,4.6,Surinam
2010,NA,Surinam
1995,NA,Uruguay
1996,NA,Uruguay
1997,NA,Uruguay
1998,NA,Uruguay
1999,NA,Uruguay
2000,6.4,Uruguay
2001,6.6,Uruguay
2002,6.9,Uruguay
2003,5.9,Uruguay
2004,6.0,Uruguay
2005,5.7,Uruguay
2006,6.1,Uruguay
2007,5.8,Uruguay
2008,6.6,Uruguay
2009,6.8,Uruguay
2010,6.1,Uruguay
1995,20.3,Venezuela
1996,22.0,Venezuela
1997,18.4,Venezuela
1998,19.4,Venezuela
1999,25.0,Venezuela
2000,32.9,Venezuela
2001,32.1,Venezuela
2002,38.1,Venezuela
2003,44.1,Venezuela
2004,37.1,Venezuela
2005,37.4,Venezuela
2006,45.2,Venezuela
2007,47.7,Venezuela
2008,52.0,Venezuela
2009,49.0,Venezuela
2010,NA,Venezuela
