school.id,school.name,reading.WB,reading.B,reading.At,reading.A,reading.male.WB,reading.male.B,reading.male.At,reading.male.A,reading.female.WB,reading.female.B,reading.female.At,reading.femaleA,reading.maori.WB,reading.maori.B,reading.maori.At,reading.maori.A,reading.pasifica.WB,reading.pasifica.B,reading.pasifica.At,reading.pasifica.A,writing.WB,writing.B,writing.At,writing.A,writing.male.WB,writing.male.B,writing.male.At,writing.male.A,writing.female.WB,writing.female.B,writing.female.At,writing.femaleA,writing.maori.WB,writing.maori.B,writing.maori.At,writing.maori.A,writing.pasifica.WB,writing.pasifica.B,writing.pasifica.At,writing.pasifica.A,math.WB,math.B,math.At,math.A,math.male.WB,math.male.B,math.male.At,math.male.A,math.female.WB,math.female.B,math.female.At,math.femaleA,math.maori.WB,math.maori.B,math.maori.At,math.maori.A,math.pasifica.WB,math.pasifica.B,math.pasifica.At,math.pasifica.A,X,school.name.y,decile.2007,tfea.2007,decile.2008,tfea.2008,decile.change,tfea.change,school.type,authority,local.authority,council,moe.office,electorate,name.discrepancy
5,Kerikeri High School,0.0444,0.234,0.4507,0.2709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0493,0.2931,0.4236,0.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198,0.1683,0.3119,0.3218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kerikeri High School,8,P,7,O,-1,-1,Secondary (Year 7-15),State,Far North District,Northland Region,Whangarei,Northland,0
17,Pompallier Catholic College,0.0458,0.2418,0.4771,0.2353,0.1111,0.2593,0.4444,0.1852,0.0658,0.2632,0.4868,0.1842,0.0533,0.2533,0.4533,0.24,0.1429,0.5714,0.1429,0.1429,0.053,0.3245,0.4768,0.1457,0,0.3704,0.5926,0.037,0.0405,0.4324,0.473,0.0541,0.0267,0.2933,0.48,0.2,0,0.7143,0.1429,0.1429,0.0265,0.2517,0.6556,0.0662,0.037,0.3333,0.6296,0,0.0263,0.2105,0.6974,0.0658,0.04,0.3067,0.6133,0.04,0,0.8571,0.1429,0,NA,Pompallier Catholic College,8,P,7,O,-1,-1,Secondary (Year 7-15),State Integrated,Whangarei District,Northland Region,Whangarei,Whangarei,0
24,Mahurangi College,0.0602,0.2068,0.3351,0.3979,0.0909,0.2584,0.3493,0.3014,0.0231,0.1445,0.3179,0.5145,0.093,0.2326,0.3721,0.3023,0.2105,0.4211,0.2632,0.1052,0.0916,0.3901,0.3272,0.1911,0.1435,0.4689,0.2871,0.1005,0.0289,0.2948,0.3757,0.3006,0.1163,0.3721,0.3953,0.1163,0.3158,0.5789,0,0.1053,0.0445,0.3089,0.3508,0.2958,0.0574,0.3445,0.2584,0.3397,0.0289,0.2659,0.4624,0.2428,0.0698,0.3256,0.4419,0.1627,0.2105,0.4737,0.0526,0.2632,NA,Mahurangi College,7,O,8,P,1,1,Secondary (Year 7-15),State,Rodney District,Auckland Region,Auckland North,Rodney,0
25,Orewa College,0.032,0.0585,0.3205,0.589,0.045,0.084,0.3545,0.5165,0.019,0.031,0.2875,0.6625,0.0155,0.1235,0.354,0.507,0,0.2,0.475,0.325,0.025,0.095,0.392,0.488,0.0375,0.157,0.4275,0.378,0.0118,0.0317,0.355,0.6015,0.0225,0.085,0.469,0.4235,0,0.45,0.35,0.2,0.0345,0.1195,0.379,0.467,0.0495,0.139,0.3705,0.441,0.019,0.1005,0.391,0.4895,0.038,0.1535,0.439,0.3695,0.1,0.125,0.575,0.2,NA,Orewa College,8,P,9,Q,1,1,Secondary (Year 7-15),State,Rodney District,Auckland Region,Auckland North,Rodney,0
35,Carmel College,0.0126,0.0714,0.5168,0.3992,NA,NA,NA,NA,NA,NA,NA,NA,0.0526,0.1053,0.4211,0.421,0,0.375,0.375,0.25,0.0169,0.0966,0.5714,0.3151,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1579,0.3684,0.4737,0.125,0.25,0.375,0.25,0,0.1051,0.6092,0.2857,NA,NA,NA,NA,NA,NA,NA,NA,0.1579,0.1579,0.4737,0.2105,0.25,0.125,0.375,0.25,NA,Carmel College,10,Z,10,Z,0,0,Secondary (Year 7-15),State Integrated,North Shore City,Auckland Region,Auckland North,North Shore,0
46,Liston College,0,0.14,0.5295,0.3305,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3165,0.2835,0.4,0,0.241,0.594,0.165,0,0.176,0.5325,0.2915,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3165,0.3335,0.35,0,0.294,0.5425,0.1635,0,0.1015,0.622,0.2765,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15,0.75,0.1,0,0.1595,0.76,0.0805,NA,Liston College,6,N,5,M,-1,-1,Secondary (Year 7-15),State Integrated,Waitakere City,Auckland Region,Auckland North,Te Atatu,0
61,Baradene College,0.0109,0.0362,0.4493,0.5036,NA,NA,NA,NA,0.0109,0.0362,0.4493,0.5036,0,0.0769,0.4615,0.4615,0.0714,0.0714,0.7143,0.1429,0,0.0869,0.4928,0.4203,NA,NA,NA,NA,0,0.0869,0.4928,0.4203,0,0.0769,0.5385,0.3846,0,0.1429,0.7143,0.1429,0.0326,0.0616,0.471,0.4348,NA,NA,NA,NA,0.0326,0.0616,0.471,0.4348,0.0769,0,0.5385,0.3846,0.0714,0.0714,0.6429,0.2143,NA,Baradene College,10,Z,9,Q,-1,-1,Secondary (Year 7-15),State Integrated,Auckland City,Auckland Region,Auckland South,Epsom,0
70,Marist College,0,0.1309,0.6702,0.1989,NA,NA,NA,NA,0,0.1309,0.6702,0.1989,0,0.2308,0.6154,0.1538,0,0.2143,0.7857,0,0.0105,0.1466,0.6911,0.1518,NA,NA,NA,NA,0.0105,0.1466,0.6911,0.1518,0,0.2308,0.7692,0,0.0357,0.1429,0.8214,0,0.0209,0.1152,0.7749,0.089,NA,NA,NA,NA,0.0209,0.1152,0.7749,0.089,0,0.2308,0.7692,0,0,0.2143,0.75,0.0357,NA,Marist College,6,N,7,O,1,1,Secondary (Year 7-15),State Integrated,Auckland City,Auckland Region,Auckland South,Mt Albert,0
82,Aidanfield Christian School,0.0138,0.1379,0.4207,0.4276,0.0135,0.1486,0.473,0.3649,0.0139,0.1111,0.3194,0.5556,0.0909,0,0.5455,0.3636,NA,NA,NA,NA,0.0556,0.1667,0.4167,0.3611,0.0135,0.1486,0.473,0.3649,0.0139,0.1111,0.3194,0.5556,0.0909,0.5455,0.3636,0,NA,NA,NA,NA,0.0208,0.1597,0.2639,0.5556,0.0139,0.1111,0.2222,0.6528,0.0139,0.1667,0.3056,0.5138,0.1818,0,0.3636,0.4545,NA,NA,NA,NA,NA,Canterbury Christian College,7,O,7,O,0,0,Composite (Year 1-15),State Integrated,Christchurch City,Canterbury Region,Christchurch,Wigram,1
106,Tuakau College,0.21,0.41,0.25,0.13,0.25,0.5,0.11,0.14,0.18,0.32,0.39,0.11,0.125,0.5,0.1875,0.1875,0.33,0,0.67,0,0.16,0.5,0.29,0.05,0.286,0.536,0.178,0,0.04,0.46,0.39,0.11,0.125,0.375,0.375,0.125,0,0.33,0.67,0,0.05,0.47,0.3,0.18,0.05,0.41,0.38,0.16,0.05,0.54,0.22,0.19,0,0.394,0.364,0.242,0.33,0.67,0,0,NA,Tuakau College,3,H,4,L,1,4,Secondary (Year 7-15),State,Franklin District,Waikato Region,Auckland South,Port Waikato,0
108,Onewhero Area School,0.08,0.2667,0.4,0.2533,0.0921,0.3158,0.4211,0.1711,0.0676,0.2162,0.3784,0.3378,0.1552,0.3448,0.3103,0.1897,NA,NA,NA,NA,0.1,0.5433,0.2833,0.0733,0.0921,0.4671,0.3684,0.0724,0.1081,0.6216,0.1959,0.0743,0.1552,0.3793,0.4138,0.0517,NA,NA,NA,NA,0.0808,0.3199,0.4916,0.1077,0.0921,0.3224,0.4474,0.1382,0,0.3041,0.5608,0.1351,0.1724,0.2931,0.5,0.0345,NA,NA,NA,NA,NA,Onewhero Area School,6,N,7,O,1,1,Composite (Year 1-15),State,Franklin District,Waikato Region,Auckland South,Port Waikato,0
109,Coromandel Area School,0.16,0.19,0.27,0.38,0.21,0.21,0.28,0.3,0.1,0.16,0.35,0.39,0.24,0.14,0.22,0.4,NA,NA,NA,NA,0.17,0.28,0.44,0.11,0.2,0.25,0.45,0.1,0.16,0.3,0.44,0.1,0.22,0.28,0.39,0.11,NA,NA,NA,NA,0.11,0.47,0.35,0.07,0.14,0.42,0.4,0.04,0.06,0.55,0.33,0.06,0.05,0.58,0.29,0.08,NA,NA,NA,NA,NA,Coromandel Area School,3,I,3,I,0,0,Composite (Year 1-15),State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,0
110,Mercury Bay Area School,0,0.1838,0.8162,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3513,0.6487,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1938,0.8062,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mercury Bay Area School,4,J,6,N,2,4,Composite (Year 1-15),State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,0
115,Te Kauwhata College,0.3075,0.0915,0.101,0.5,0.332,0.129,0.08,0.459,0.2705,0.0755,0.122,0.532,0.462,0.0455,0.2085,0.284,1,0,0,0,0.1625,0.2085,0.3875,0.2415,0.2125,0.2705,0.3405,0.1765,0.1185,0.131,0.4015,0.349,0.2655,0.1745,0.515,0.045,0,0,1,0,0.275,0.1315,0.3555,0.238,0.3455,0.093,0.3535,0.208,0.2105,0.1685,0.35,0.271,0.398,0.212,0.2615,0.1285,0,0,1,0,NA,Te Kauwhata College,3,H,5,M,2,5,Secondary (Year 7-15),State,Waikato District,Waikato Region,Hamilton,Port Waikato,0
117,Katikati College,0.14,0.24,0.26,0.36,0.2,0.32,0.24,0.24,0.08,0.16,0.29,0.48,0.1,0.2,0.27,0.43,0.56,0.44,0,0,0.19,0.39,0.29,0.13,0.272,0.463,0.221,0.044,0.11,0.31,0.36,0.22,0.11,0.4,0.32,0.16,0.81,0.19,0,0,0.174,0.381,0.332,0.113,0.21,0.43,0.26,0.1,0.13,0.33,0.41,0.12,0.12,0.39,0.35,0.14,0.63,0.25,0.13,0,NA,Katikati College,6,N,6,N,0,0,Secondary (Year 7-15),State,Western Bay Of Plenty District,Bay of Plenty Region,Rotorua,Coromandel,0
125,Raglan Area School,0.047,0.165,0.481,0.307,0.04,0.184,0.472,0.304,0.057,0.136,0.5,0.307,0.078,0.243,0.496,0.183,NA,NA,NA,NA,0.056,0.282,0.451,0.211,0.073,0.355,0.403,0.169,0.033,0.18,0.517,0.27,0.06,0.357,0.435,0.148,NA,NA,NA,NA,0.058,0.182,0.625,0.135,0.05,0.15,0.642,0.158,0.068,0.228,0.602,0.102,0.072,0.234,0.64,0.054,NA,NA,NA,NA,NA,Raglan Area School,3,I,4,J,1,1,Composite (Year 1-15),State,Waikato District,Waikato Region,Hamilton,Port Waikato,0
