school.id,school.name,teachers.n,teachers.ftte
1,Te Kao School,3,2.4
2,Taipa Area School,36,32.24
3,Kaitaia College,73,66.74
4,Whangaroa College,13,12.4
5,Kerikeri High School,105,92.46
6,Broadwood Area School,14,12.2
7,Okaihau College,38,36.9
8,Bay of Islands College,31,30.5
9,Northland College,28,25.85
10,Te Kura Taumata o Panguru,11,9.2
11,Opononi Area School,20,19
12,Tauraroa Area School,39,34.43
13,Kamo High School,93,90.51
14,Tikipunga High School,42,39.48
15,Whangarei Boys' High School,76,67.88
16,Whangarei Girls' High School,79,75.68
17,Pompallier Catholic College,47,42.1
18,Mangakahia Area School,24,19.08
19,Dargaville High School,45,40.06
20,Bream Bay College,45,38.18
21,Otamatea High School,42,39.4
22,Ruawai College,20,17.15
23,Rodney College,34,29.9
24,Mahurangi College,87,82.52
25,Orewa College,120,112.64
26,Kaipara College,53,50.68
27,Long Bay College,102,98.2
28,Rangitoto College,197,190.34
30,Glenfield College,64,58.95
31,Birkenhead College,61,54.99
32,Northcote College,90,84.9
33,Hato Petera College,17,17
35,Carmel College,68,61.32
36,Takapuna Grammar School,112,100.23
37,Westlake Boys' High School,138,133.94
38,Westlake Girls' High School,152,144.42
39,Rosmini College,70,63.89
40,Rutherford College,98,94.24
41,Macleans College,165,153.68
42,Green Bay High School,85,79.44
43,Massey High School,155,151.85
44,Waitakere College,96,88.68
45,Henderson High School,57,50.66
46,Liston College,53,50.12
47,St Dominic's College (Henderson),66,60.92
48,Western Springs College,87,82.8
49,Selwyn College,70,62.48
50,St Mary's College (Ponsonby),65,58.19
51,St Paul's College (Ponsonby),26,22.6
53,Auckland Girls' Grammar School,102,92.97
54,Auckland Grammar,159,155.11
57,Tamaki College,58,54.52
58,Tangaroa College,71,67.88
59,Sacred Heart College (Auckland),90,80.63
61,Baradene College,78,67.92
62,St Peter's College (Epsom),96,84.54
63,Marcellin College,59,52.36
64,Epsom Girls' Grammar School,158,142.4
65,Glendowie College,69,64.13
69,Mt Albert Grammar School,156,149.13
70,Marist College,55,49.04
74,Mt Roskill Grammar,161,151.77
75,Lynfield College,130,122.55
77,Bethlehem College,116,102.97
78,Avondale College,175,169.42
79,Edgewater College,65,61
80,Pakuranga College,135,128.72
82,Aidanfield Christian School,17,12.57
83,Kelston Boys' High School,73,69.73
84,Kelston Girls' College,63,56.46
85,One Tree Hill College,59,55.52
86,Onehunga High School,98,93.61
87,Howick College,118,109.58
88,Otahuhu College,100,96.56
90,McAuley High School,49,47.07
91,Mangere College,66,62.04
93,Auckland Seventh-Day Adventist H S,27,26.52
94,De La Salle College,66,64.7
95,Papatoetoe High School,118,115.12
96,Aorere College,100,95.2
97,Sir Edmund Hillary Collegiate Senior Sch,44,43.53
99,Manurewa High School,124,119.78
100,James Cook High School,100,96.2
101,Papakura High School,70,69.72
102,Rosehill College,125,117.07
103,Pukekohe High School,106,99.1
104,Wesley College,31,28.35
105,Waiuku College,60,55.77
106,Tuakau College,53,49.58
108,Onewhero Area School,31,28.12
109,Coromandel Area School,28,21.79
110,Mercury Bay Area School,63,57.97
111,Thames High School,54,48.4
112,Hauraki Plains College,51,45.72
113,Paeroa College,29,27.61
114,Waihi College,51,50.24
115,Te Kauwhata College,37,35.88
116,Te Aroha College,34,30.1
117,Katikati College,66,62.99
118,Mt Maunganui College,99,87.68
119,Huntly College,28,27.6
120,Otumoetai College,135,122.08
121,Tauranga Boys' College,123,117.7
122,Tauranga Girls' College,104,96.61
123,Te Puke High School,78,75.18
124,Matamata College,63,59.52
125,Raglan Area School,36,32.45
126,Morrinsville College,56,48.9
127,Ngaruawahia High School,29,26.09
129,Fairfield College,76,73.04
131,Hamilton Boys' High School,140,125.94
132,Hamilton Girls' High School,111,100.95
133,Raphael House Rudolf Steiner Area School,39,32.19
134,Flaxmere College,33,30.4
135,Hamilton's Fraser High School,112,108.47
136,St John's College (Hillcrest),53,46.96
137,Melville High School,46,43.92
138,Hillcrest High School,114,106.35
139,Sacred Heart Girls' College (Ham),65,59.72
140,Waikato Diocesan School For Girls,73,63.19
142,Cambridge High School,87,83.46
143,Trident High School,86,82.04
144,Whakatane High School,65,56.59
145,Edgecumbe College,36,31.64
146,Te Awamutu College,80,77.29
147,Te Whanau-A-Apanui Area School,17,13.58
148,Opotiki College,47,44.14
149,Kawerau College,40,37.3
151,Western Heights High School,105,100.36
152,Rotorua Boys' High School,62,59.76
153,Rotorua Girls' High School,69,63.92
154,Rotorua Lakes High School,58,52.48
157,Otorohanga College,33,31.16
158,Tokoroa High School,39,37.06
159,Forest View High School,50,45.78
160,Te Kuiti High School,32,29.84
161,Benneydale School,2,1.3
162,Piopio College,21,20.04
164,Reporoa College,33,32.6
165,Rangitahi College,16,13.9
166,Tauhara College,56,46.51
167,Taupo-nui-a-Tia College,74,65.48
169,Taumarunui High School,43,38.87
170,Waitara High School,32,30.28
171,New Plymouth Boys' High School,89,81.63
172,New Plymouth Girls' High School,93,83.34
173,Spotswood College,79,73.73
174,Sacred Heart Girls' College (N Plymouth),55,48.09
175,Francis Douglas Memorial College,57,50.49
176,Ohura Valley Primary,2,2
177,Inglewood High School,35,32.55
179,Stratford High School,46,42.98
180,St Mary's Diocesan School (Stratford),18,16.04
181,Opunake High School,32,30.67
182,Hawera High School,64,58.54
183,Ruapehu College,23,20.86
185,Patea Area School,14,13
186,Waverley High School (Closed),.,
187,Wanganui City College,42,38.84
188,Wanganui Girls' College,38,32.52
189,Wanganui High School,133,115.96
190,Cullinane College,28,24.01
191,Longburn Adventist College,35,28.04
194,Turakina Maori Girls' College,12,11.8
195,Rangitikei College,35,29.8
